rank_test_score,mean_test_score,std_test_score,param_n_estimators,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_max_features,mean_fit_time
1,0.7806371313489086,0.005453066575950721,400,15,1,2,log2,6.463263034820557
2,0.7804513431344685,0.006439190785438214,500,25,1,2,log2,8.498489220937094
3,0.7801015220166336,0.0036363077270759594,400,,3,2,0.5,10.574714501698812
4,0.7790918738237339,0.00370452119640966,200,15,5,2,log2,3.069424788157145
5,0.7788794684985025,0.004971074005468992,500,15,3,2,sqrt,7.888771851857503
6,0.7788117065038594,0.0035188803588077295,200,20,1,10,log2,3.0221832593282065
7,0.7783716521497306,0.006682526070563448,500,30,1,2,0.5,8.538912455240885
8,0.7761231156917027,0.0023092714639275334,300,25,3,2,log2,4.545117775599162
9,0.775918762182168,0.007505744380807611,200,,2,5,log2,2.9096309343973794
10,0.7757429465230743,0.004669712074964873,100,30,2,10,0.5,2.721684217453003
11,0.7754518008284629,0.0033038902694922864,500,30,5,5,log2,5.561162869135539
12,0.7745940910209358,0.0038813729826005458,200,20,2,10,log2,3.1653406620025635
13,0.773666742009023,0.0030746419005207204,100,15,3,2,0.5,2.5752922693888345
14,0.7728168685845763,0.0046563028173759865,200,10,1,2,log2,2.345342000325521
15,0.7727331882900055,0.004942950858373591,400,10,1,2,log2,4.779435873031616
16,0.7718443190889458,0.005021450844634084,500,10,5,2,sqrt,5.546556313832601
17,0.7713261813256306,0.000781501266012131,300,15,8,5,log2,3.909464200337728
18,0.7711251886577918,0.0036642290069963386,100,20,1,10,log2,1.5548782348632812
19,0.7710210042023501,0.004015855432665341,100,20,8,2,log2,1.163890282313029
20,0.7708171412488118,0.0035697384311850046,100,30,2,2,sqrt,1.5850822925567627
21,0.7706863521034606,0.002988810458919747,500,15,8,2,sqrt,6.957602024078369
22,0.7700645352385443,0.0033508558410933276,400,10,3,10,sqrt,4.744939724604289
23,0.7697220316465669,0.0020898194355714267,200,30,8,2,log2,2.814220587412516
23,0.7697220316465669,0.0020898194355714267,200,30,8,10,log2,2.8310701052347818
25,0.7675060543975771,0.004404541139163024,100,10,3,10,log2,1.0288657347361247
